Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Block,Lot,Supervisor District,City Analysis Neighborhood,Planning Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,SSP Acquisition Date,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Building Permit Number,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2019-015,(6) Complete,Barcelona Apts,270,Turk,St,94102,338,10,6,Tenderloin,Downtown/Civic Center,MOHCD,Big Sites Program,,Rehabilitation,Rental,03/19/2019,08/01/2019,,,08/01/2019,08/15/2020,Tenderloin Neighborhood Development Corporation,,,2017-015701PRJ,http://propertymap.sfplanning.org/?search=2017-015701PRJ,,,,,86,86,,100,19,50,17,,,,,,,,86,,,,,,,,,,,,,86,,,,,,,,,37.78314,-122.41361,"(37.78314, -122.41361)"
2008-012,(6) Complete,"HPSY I, Block 54",182,Coleman,St,94124,4591C,"444, 445",10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,,11/26/2012,11/15/2013,11/15/2013,09/14/2017,Lennar Urban,,,Not Applicable,,,,,"200912223676, 201202295144, 201202295146, 201202295145, 201202295147, 201202295142, 201202295141",66,7,59,11,,,2,3,2,,,,,,7,,,,,,,,,,,,,7,,,,,,,,,37.72838371,-122.3685521,"(37.728383706, -122.368552112999)"
2018-037,(3) Design with Entitlements Approved,301 Grove,301,Grove,St,94102,809,1,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,07/01/2023,,,10/23/2020,12/17/2022,SFAR,,,2015-015133PRJ,http://propertymap.sfplanning.org/?search=2015-015133PRJ,,10/25/2018,Fee Payment,201810254180,12,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77782898,-122.4217917,"(37.777828982, -122.421791709999)"
2016-083,(4) Site Work Permit Issued,98 Pennsylvania,98,Pennsylvania,Ave,94107,3948,2,10,Mission Bay,Potrero Hill,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,12/05/2018,,06/05/2019,07/29/2021,Ciaran & Patrick Harty,,,2020-010275PRJ,http://propertymap.sfplanning.org/?search=2020-010275PRJ,"2013.0517E,2013.0517PPA,2013.0517U,2013.0517X",09/22/2016,On-site BMR Project,201612235806,48,7,41,15,,1,4,2,,,,,,,7,,,,,,,,,,,7,,,,,,,,,,,37.7655618,-122.394221,"(37.765561805, -122.394221041999)"
2015-033b,(6) Complete,1491 Sunnydale Ave (Casala aka Parcel Q),1491,Sunnydale,Ave,94134,6356,69,10,Visitacion Valley,Visitacion Valley,MOHCD,HOPE SF,,New Construction,Rental,,01/29/2018,11/20/2017,01/05/2018,01/05/2018,02/20/2020,Related California,Mercy Housing California,"Sunnydale Parcel Q Housing Partners, LP",2017-000180PRJ,http://propertymap.sfplanning.org/?search=2017-000180PRJ,,03/03/2017,,,55,54,1,98,,3,19,18,14,,,,1,2bd,54,,,,,,41,,,,47,,7,,,,,,,,,,37.71153602,-122.4158148,"(37.711536015, -122.415814802999)"
2014-010,(6) Complete,O&M,650,Indiana,St,94107,4041,011-129 (120 parcels),10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,12/24/2014,06/02/2015,06/02/2015,05/20/2019,Michael Yarne/Build Inc,,,2012.1574,http://propertymap.sfplanning.org/?search=2012.1574,"2012.1574E,2012.1574E_3,2012.1574K,2012.1574U,2012.1574X",05/01/2014,On-site BMR Project,"201312244989, 201312244992",111,16,95,14,,5,4,6,1,,,,,,16,,,,,,,,,,,16,,,,,,,,,,,37.76214783,-122.3918616,"(37.7621478306371, -122.391861643543)"
2016-099,(1) Preliminary Phase,"HPSY II-CP, Block 6B",,Address not yet assigned,,94124,,,10,Bayview Hunters Point,Bayview,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Unknown,,12/31/2025,,,12/31/2025,06/24/2027,Developer not yet selected,,Developer not yet selected,Not Applicable,,,,,,105,104,1,99,,,,,,,,,1,,104,,,,,,,,,,,,,,,,,,,,,104,37.71240103,-122.3824582,"(37.712401027, -122.382458174999)"
2020-023,(3) Design with Entitlements Approved,1120 Valencia,1120,Valencia,St,94110,3635,4,8,Mission,Mission,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,,,09/15/2022,11/08/2024,M3 LLC,,,2018-017328PRJ,http://propertymap.sfplanning.org/?search=2018-017328PRJ,,09/16/2020,On-site BMR Project,,18,2,16,11,,,1,1,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,37.75486,-122.4212,"(37.75486, -122.4212)"
2011-030,(6) Complete,Marlow,1800,Van Ness,Ave,94109,619,051-150 (100 parcels),3,Russian Hill,Nob Hill,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,07/27/2012,10/18/2012,10/18/2012,11/12/2014,"Van Ness Clay, LLC/Oyster Development Corporation",,,2011.0094,http://propertymap.sfplanning.org/?search=2011.0094,"2011.0094C,2011.0094Q,2011.0094S",10/20/2011,On-site BMR Project,201202214559,98,15,83,15,,,9,6,,,,,,,15,,,,,,,,,,,,,,,15,,,,,,,37.79256991,-122.4222498,"(37.792569907, -122.422249845999)"
2013-046,(6) Complete,Le Fenix (1950 Mission),1950,Mission,St,94103,3554,5,9,Mission,Mission,MOHCD,Multifamily Rental Program,,New Construction,Rental,,12/07/2018,02/16/2018,12/28/2018,12/28/2018,05/25/2021,BRIDGE Housing Corporation,Mission Housing Development Corporation,1950 Mission Associates LLC,2016-001514PRJ,http://propertymap.sfplanning.org/?search=2016-001514PRJ,"2016-001514CUA,2016-001514ENV,2016-001514PPA",06/19/2018,,201609218371,157,155,2,99,,32,36,73,14,,,16,2,3bd,155,,,40,,40,,,40,,41,,74,,,,,,,,,,37.76584624,-122.4202078,"(37.765846245, -122.420207773999)"
2014-017,(6) Complete,119 7th,119,7th,St,94103,3726,103,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,05/11/2015,10/02/2015,10/02/2015,06/16/2021,"American Pacific International, Inc.",,,2012.0673,http://propertymap.sfplanning.org/?search=2012.0673,"2012.0673E,2012.0673U,2012.0673X",06/19/2014,Fee Payment,201406249298,39,,39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77907287,-122.4103124,"(37.779072869, -122.410312379999)"
2017-029,(6) Complete,2444 Lombard,2444,Lombard,St,94123,936,14,2,Marina,Marina,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,10/03/2018,10/03/2018,10/03/2018,05/22/2020,JS Sullivan Development,,,2014.1183,http://propertymap.sfplanning.org/?search=2014.1183,"2014.1183CUA,2014.1183ENV,2014.1183PPA,2014.1183TDM,2014.1183U",10/19/2017,On-site BMR Project,201712156664,41,6,35,15,,,2,4,,,,,,,6,,,,,,,,,,,,,,6,,,,,,,,37.79941357,-122.4420524,"(37.799413573, -122.442052406999)"
2014-002,(6) Complete,626 Mission Bay Family Housing (Mission Bay South 6 East),626,Mission Bay Blvd North,,94158,8711,21,6,Mission Bay,South of Market,OCII,Multifamily Rental Program,Mission Bay,New Construction,Rental,,08/01/2016,01/22/2016,09/21/2016,09/21/2016,10/15/2018,Tenderloin Neighborhood Development Corporation,,"1300 Fourth Street Associates, LP",Not Applicable,,,,,201507272485,143,142,1,99,,,53,46,43,,,,1,2bd,142,,,29,,,,6,23,,,,113,,,,,,,,,,37.77140196,-122.3917716,"(37.771401961, -122.391771646999)"
2012-022,(6) Complete,181 Fremont,181,Fremont,St,94107,3719,450-518 (68 parcels),6,Financial District/South Beach,Financial District,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,12/26/2013,01/24/2014,01/24/2014,07/07/2020,181 Fremont LLC,,,2014.1399,http://propertymap.sfplanning.org/?search=2014.1399,"2014.1399W,2014.1399X",12/06/2012,Fee Payment,201305015894,74,,74,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.78814775,-122.4060463,"(37.788147745, -122.406046300999)"
2015-015,(6) Complete,1353-1357 Folsom,1353-1357,Folsom,St,94103,3519,52,6,South of Market,South of Market,MOHCD,Small Sites Program,,Rehabilitation,Rental,01/22/2016,10/21/2016,,,10/21/2016,02/05/2018,San Francisco Community Land Trust,,San Francisco Community Land Trust,Not Applicable,,,,,,3,3,,100,,,,1,1,1,,,,,3,,,,,,,,,,,,,3,,,,,,,,,37.77299153,-122.4121583,"(37.772991533, -122.412158315999)"
2016-009,(6) Complete,2100 Market,2100,Market,St,94114,3542,41,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,12/29/2016,02/24/2017,02/24/2017,07/06/2021,Brian Spears Development (for self),,,2014.0519,http://propertymap.sfplanning.org/?search=2014.0519,"2014.0519CUA,2014.0519E,2014.0519PPA,2014.0519U,2014.0519VAR",02/04/2016,On-site BMR Project,201607192730,60,8,52,13,,,5,3,,,,,,,7,,,,,,,,,,,7,,,,,,,,,,,37.76750943,-122.429432,"(37.767509426, -122.429431985999)"
2017-042,(5) First Construction Document Issued,Bernal Dwellings HOPE VI,3138,Kamille,Ct,94110,6573,1,9,Bernal Heights,Bernal Heights,MOHCD,Multifamily Rental Program,,Rehabilitation,Rental,,12/15/2019,,,12/15/2019,12/15/2021,McCormack Baron Salazar,San Francisco Housing Development Corporation,"Bernal Homes, L.P.",Not Applicable,,,,,,160,159,1,99,,,3,84,70,2,,16,1,2bd,159,,,,,,,,,,,,159,,,,,,,,,,37.74884807,-122.412619,"(37.748848071, -122.412618992999)"
2011-019,(6) Complete,3418 26th,3418,26th,St,94110,6529,040-050 (11 parcels),9,Mission,Mission,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,03/20/2012,01/03/2013,01/03/2013,06/30/2014,,,,2009.061,http://propertymap.sfplanning.org/?search=2009.0610,"2009.0610E,2009.0610E_3",02/28/2011,Fee Payment,200706204573,11,,11,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.74920644,-122.418908,"(37.74920644, -122.418907975999)"
2016-133,(1) Preliminary Phase,Transbay Block 4 (Mid-Rise Affordable),,Address not yet assigned,,94105,,,6,Financial District/South Beach,Financial District,OCII,Multifamily Rental Program,Transbay,New Construction,Rental,,01/01/2023,,,01/01/2023,01/01/2026,,,"Transbay Block 4 Housing Partnership, L.P.",Not Applicable,,,,,,192,192,,100,,,97,57,38,,,,1,,192,,,,,,,,,,,,,,,,,,,,,192,37.79000867,-122.393508,"(37.790008674, -122.393507961999)"
2015-027,(6) Complete,1700 Market,1700,Market,St,94102,855,16,5,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,05/29/2018,03/14/2019,03/14/2019,12/23/2020,1700 Market Street LLC,,,2013.1179,http://propertymap.sfplanning.org/?search=2013.1179,"2013.1179C,2013.1179E,2013.1179U,2013.1179VAR",06/18/2015,On-site BMR Project,201604074244,42,5,37,12,,,,,,,,,,,5,,,,,,,,,,,,,,5,,,,,,,,37.77295342,-122.4224471,"(37.772953415, -122.422447141999)"
2016-117,(5) First Construction Document Issued,830 Eddy & 815 Van Ness,830,Eddy & 815 Van Ness,St,94109,738,18,5,Western Addition,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,09/07/2018,09/30/2019,09/30/2019,10/26/2021,Build Inc,,,2015-009460PRJ,http://propertymap.sfplanning.org/?search=2015-009460PRJ,"2015-009460CUA,2015-009460ENV,2015-009460PPA,2015-009460SHD",12/08/2016,On-site BMR Project,201612285985,137,20,117,15,,4,10,6,,,,,,,20,,,,,,,,,,,20,,,,,,,,,,,37.78309269,-122.421501,"(37.78309269, -122.421500997999)"
2018-020,(5) First Construction Document Issued,30 Otis St,30,Otis,St,94103,3505,"010, 012, 013, 016, 018",6,Mission,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,01/22/2019,08/09/2019,08/09/2019,07/19/2021,Align Real Estate,,,2015-010013PRJ,http://propertymap.sfplanning.org/?search=2015-010013PRJ,"2015-010013DNX,2015-010013ENV,2015-010013GPR,2015-010013IKA,2015-010013PPA,2015-010013SHD,2015-010013TDM,2015-010013VAR,2016-003379PRV",09/27/2018,Fee Payment,201611283577,416,,416,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.77300991,-122.4193327,"(37.773009909, -122.419332740999)"
2016-047,(3) Design with Entitlements Approved,"Block 48, Phase 2 (Blocks M, N1, N2, O, P)",869,La Salle,Ave,94124,4591D,5,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,04/01/2021,,,04/01/2021,09/23/2022,Lennar,,,Not Applicable,,,03/03/2015,,,87,11,76,13,,,3,7,,,,,,,11,,,,,,,,,,,,,11,,,,,,,,,37.72820221,-122.3751614,"(37.728202213, -122.375161403999)"
2011-005,(6) Complete,1255-1275 Columbus,1255-1275,Columbus,Ave,94133,28,14,2,Russian Hill,Russian Hill,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,04/22/2014,12/07/2016,12/07/2016,02/14/2019,,,,2008.0723,http://propertymap.sfplanning.org/?search=2008.0723,"2008.0723E,2008.0723E_3,2008.0723E_4,2008.0723V",06/08/2011,Fee Payment,201306149565,20,,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.80560374,-122.4182387,"(37.805603742, -122.418238739999)"
2021-013,(2) Predevelopment Feasibility,139 Dore,139,Dore,St,94103,3519,60,6,South of Market,South of Market,MOHCD,Small Sites Program,,Rehabilitation,Rental,09/08/2021,,,,,,Conard House,,,,,,,,,6,6,,100,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,37.77298,-122.41154,"(37.77298, -122.41154)"
1988-006a,(2) Predevelopment Feasibility,Through Line Scattered Sites - Bayside Elderly Housing,777,Broadway,,94133,160,"031, 032",3,Chinatown,Chinatown,MOHCD,Bond Financed Multifamily Housing,,Rehabilitation,Rental,,12/31/2022,,,12/31/2022,06/30/2024,Chinatown Community Development Center,,"Through Line, L.P.",2020-009365PRJ,http://propertymap.sfplanning.org/?search=2020-009365PRJ,,,,,31,30,1,97,,30,,,,,,7,1,Studio,,30,,,,,,,30,,,,,,,,,,,,,,37.79742,-122.40992,"(37.79742, -122.40992)"
2015-042,(6) Complete,"HPSY, Block 55 (Inclusionary)",528,Hudson,St,94124,4591C,8,10,Bayview Hunters Point,Bayview,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,,08/01/2017,10/07/2016,05/15/2017,05/15/2017,07/24/2019,,,,Not Applicable,,,,,"201412113580, 201512144991, 201512144992, 201512144993, 201512144994, 201512144995, 201512145022, 201412113582, 201512144960, 201512144961, 201512144962, 201512144963, 201512144964, 201512144965, 201512144988, 201512144989, 201512144990, 201512145021, 201501145720, 201512144957, 201512144958, 201512144959, 201512145025, 201512145026, 201512145027, 201512145028, 201512145029, 201512145030, 201501145722, 201512144931, 201512144956, 201512145031, 201512145032, 201512145033, 201512145035, 201512145036, 201512145037, 201512145038, 201512145020, 201501145723, 201512145015, 201512145016, 201512145017, 201512145018, 201512145024, 201501145724, 201512145004, 201512145007, 201512145008, 201512145009, 201512145010, 201512145011, 201512145012, 201512145013, 201512145014, 201512145023, 201501145725, 201512144996, 201512144997, 201512144998, 201512144999, 201512145000, 201512145001, 201512145002, 201512145003, 201512145019",66,3,63,5,,,,1,2,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,37.72774964,-122.3694627,"(37.727749643, -122.369462650999)"
2016-063,(6) Complete,540 De Haro,540,De Haro,St,94107,4008,2,10,Potrero Hill,Potrero Hill,MOHCD,Inclusionary Housing Program,,New Construction,Unknown,,,12/27/2017,05/31/2018,05/31/2018,06/15/2020,,,,2014.0599,http://propertymap.sfplanning.org/?search=2014.0599,"2014.0599E,2014.0599ENX,2014.0599U",06/02/2016,Fee Payment,201502107867,16,,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.76290707,-122.4017321,"(37.762907074, -122.401732115999)"
2019-026,(3) Design with Entitlements Approved,55 Belcher St,55,Belcher,St,94114,3537,100,8,Castro/Upper Market,Castro/Upper Market,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,,,11/19/2021,01/13/2024,"Reuben, Junius & Rose, LLP",,"55 Belcher Street, LLC",2016-003994PRJ,http://propertymap.sfplanning.org/?search=2016-003994PRJ,,11/21/2019,On-site BMR Project,,25,5,20,20,,,3,2,,,,,,,5,,,,,,,,,,,3,,1,,,,1,,,,,37.76851,-122.42984,"(37.76851, -122.42984)"
2008-002,(6) Complete,1180 4th,1180,4th,St,94158,8711,"501, 502",6,Mission Bay,South of Market,OCII,Multifamily Rental Program,Mission Bay,New Construction,Rental,,07/06/2012,01/26/2011,01/13/2012,01/13/2012,04/02/2015,Mercy Housing California,,"Mercy Housing California XLIV, LP",Not Applicable,,,,,201012036075,150,149,1,99,,,42,54,53,,,,1,3bd,149,,,50,,50,,25,,,124,,,,,,,,,,,,37.77354081,-122.3920279,"(37.773540813, -122.392027894999)"
2018-003,(4) Site Work Permit Issued,135 Hyde,135,Hyde,St,94102,346,2,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,06/28/2019,,12/27/2019,02/19/2022,Elevation Architects,,,2015-015203PRJ,http://propertymap.sfplanning.org/?search=2015-015203PRJ,"2015-015203DNX,2015-015203ENV,2015-015203PPA,2015-015203SHD,2015-015203TDM,2015-015203VAR",03/29/2018,On-site BMR Project,201611072110,69,10,59,14,,,6,4,,,,,,,10,,,,,,,,,,,10,,,,,,,,,,,37.78214757,-122.4159657,"(37.782147569, -122.415965706999)"
2012-008,(3) Design with Entitlements Approved,1150 16th  (AKA 1208 8th),1150,16th,St,94107,3821,9,10,Mission Bay,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,,,04/11/2014,06/29/2019,Sergio Nibbi,,,2004.1004,http://propertymap.sfplanning.org/?search=2004.1004,"2004.1004C,2004.1004E,2004.1004E_3,2004.1004K,2004.1004S",04/12/2012,On-site BMR Project,201107220909,15,2,13,13,,,1,1,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,37.76666545,-122.3989745,"(37.766665445, -122.398974467999)"
2016-042,(6) Complete,Dalt Hotel,34,Turk,St,94102,340,7,6,Tenderloin,Downtown/Civic Center,MOHCD,Multifamily Rental Program,,Rehabilitation,Rental,,04/16/2018,,,04/16/2018,05/01/2019,Tenderloin Neighborhood Development Corporation,,Dalt Hotel LP,Not Applicable,,,,,,178,178,,100,178,,,,,,,24,1,SRO,178,,,,,,,,,,178,,,,,,,,,,,,37.78361263,-122.4098864,"(37.783612634, -122.409886357999)"
2016-006,(5) First Construction Document Issued,950 Gough,950,Gough,St,94102,744,21,5,Western Addition,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,05/11/2018,05/03/2019,05/03/2019,10/07/2020,"Maracor Development, Inc.",,,2016-000173PRJ,http://propertymap.sfplanning.org/?search=2016-000173PRJ,"2012.0506C,2012.0506E,2012.0506GEN,2012.0506K,2012.0506U,2012.0506VAR",01/07/2016,On-site BMR Project,201510281089,95,11,84,12,,2,7,2,,,,,,,11,,,,,,,,,,,,,,11,,,,,,,,37.78224111,-122.4236991,"(37.782241112, -122.423699081999)"
2015-004,(6) Complete,1 Franklin,11,Franklin,St,94102,837,095-132 (38 parcels),5,Hayes Valley,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,03/04/2015,04/14/2015,04/14/2015,07/22/2016,Franklin Street Developers LLC,,,2014.1423,http://propertymap.sfplanning.org/?search=2014.1423,2014.1423V,01/08/2015,On-site BMR Project,200912032516,35,4,31,11,,1,1,2,,,,,,,4,,,,,,,,,,,,,,4,,,,,,,,37.77442892,-122.4211102,"(37.774428917, -122.421110190999)"
2018-050,(2) Predevelopment Feasibility,1049 Market St,1049,Market,St,94103,3703,67,6,South of Market,South of Market,MOHCD,Small Sites Program,,Rehabilitation,Rental,10/10/2018,01/01/2023,,,01/01/2023,02/01/2024,Tenderloin Housing Clinic,,Tenderloin Housing Clinic,2016-008515PRJ,http://propertymap.sfplanning.org/?search=2016-008515PRJ,,,,,15,15,,100,15,,,,,,,,,,15,,,,,,,,,,,,,15,,,,,,,,,37.78111,-122.41103,"(37.78111, -122.41103)"
2017-009,(5) First Construction Document Issued,1028 Market,1028,Market,St,94102,350,2,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,12/07/2018,10/18/2019,10/18/2019,12/11/2021,"LCL Global-1028 Market Street, LLC",,,2014.0241,http://propertymap.sfplanning.org/?search=2014.0241,"2014.0241CUA,2014.0241E,2014.0241SHD,2014.0241U,2014.0241VAR,2014.0241X",01/26/2017,On-site BMR Project,201707172085,186,25,161,13,,13,2,8,2,,,,,,25,,,,,,,,,,,25,,,,,,,,,,,37.78188348,-122.4113233,"(37.781883481, -122.411323333999)"
2019-011,(5) First Construction Document Issued,3158 Mission (El Rio),3158,Mission,St,94110,6574,7,9,Bernal Heights,Bernal Heights,MOHCD,Small Sites Program,,Rehabilitation,Rental,09/20/2019,04/01/2020,,,04/01/2020,02/15/2021,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Applicable,,,,,,8,8,,100,,,,6,2,,,,,,8,,,,,,,,,,,,,8,,,,,,,,,37.74676,-122.419331,"(37.74676, -122.419331)"
2016-094,(1) Preliminary Phase,Mission Bay South Block 12 West,,Address not yet assigned,,94158,8710,6,6,Mission Bay,South of Market,OCII,Multifamily Rental Program,Mission Bay,New Construction,Rental,,12/01/2021,,,12/01/2021,12/01/2023,Developer not yet selected,,Developer not yet selected,Not Applicable,,,,,,145,144,1,99,,,,,,,,,1,,144,,,,,,,,,,,,144,,,,,,,,,,37.77104569,-122.3951074,"(37.771045694, -122.395107363999)"
2016-122,(5) First Construction Document Issued,1335 Larkin,1335,Larkin,St,94109,645,3,3,Nob Hill,Nob Hill,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,08/09/2017,11/13/2018,11/13/2018,01/06/2021,Town Consulting,,,2020-003920PRJ,http://propertymap.sfplanning.org/?search=2020-003920PRJ,"2013.0491DRP,2013.0491E,2013.0491PPA,2013.0491U,2013.0491V",09/21/2016,Fee Payment,201403100361,22,,22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.79033012,-122.4193084,"(37.790330115, -122.419308362999)"
2020-035,(3) Design with Entitlements Approved,1088 Howard,1088,Howard,St,94103,3726,30,6,South of Market,South of Market,MOHCD,Inclusionary Housing Program,,New Construction,Ownership,,,,,10/22/2022,12/15/2024,"Carland, Inc.",,,2017-009796PRJ,,,10/23/2020,On-site BMR Project,,24,3,21,13,,,,,,,,,,,3,,,,,,,,,,,,,3,,,,,,,,,37.7784,-122.40928,"(37.7784, -122.40928)"
2020-018,(2) Predevelopment Feasibility,Balboa Reservoir Building E,,Address not yet assigned,,94112,,,7,West of Twin Peaks,West of Twin Peaks,MOHCD,Multifamily Rental Program,,New Construction,Rental,,03/01/2023,,,03/01/2023,11/01/2024,BRIDGE Housing Corporation,,TBD,Not Yet Available,,,,,,124,123,1,99,,8,59,45,11,,,5,1,2bd,123,,,,,,,,,26,,,,61,,,,,,,,,,,"(0.0, 0.0)"
2012-013,(6) Complete,Alchemy by Alta,218-220,Buchanan,St,94102,857,"002, 004, 005",8,Hayes Valley,Western Addition,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,08/02/2013,10/28/2013,10/28/2013,01/16/2018,"Alta Laguna, LLC",,,2012.0033,http://propertymap.sfplanning.org/?search=2012.0033,"2012.0033A,2012.0033A_3,2012.0033C,2012.0033E,2012.0033F,2012.0033R,2012.0033S,2012.0033U,2012.0033U_3,2014-000029GPR",08/16/2012,On-site BMR Project,"201209059005, 201209059006",330,50,280,15,,12,23,15,,,,,,,50,,,,,,,,,,,50,,,,,,,,,,,37.77169713,-122.4261466,"(37.771697127, -122.426146640999)"
2016-069,(8) Cancelled,250 Laguna Honda Blvd (Laguna Honda Senior Apts),250,Laguna Honda,Blvd,94116,2819,51,7,West of Twin Peaks,West of Twin Peaks,MOHCD,Multifamily Rental Program,,New Construction,Rental,,09/01/2019,,,09/01/2019,03/01/2021,Christian Church Homes,Northern California Presbyterian Homes & Services,,2016-004598PRJ,http://propertymap.sfplanning.org/?search=2016-004598PRJ,"2016-004598ENV,2016-004598PPA,2016-004598PRV",,,,150,149,1,99,,42,107,,,,,8,1,2bd,,149,,30,,30,,,,,,,,,,,,,,,,149,37.75024495,-122.4611827,"(37.750244954, -122.461182730999)"
2013-027,(6) Complete,462 Duboce,462,Duboce,Ave,94117,875,23,8,Hayes Valley,Western Addition,MOHCD,Rental Assistance Demonstration Program (RAD),,Rehabilitation,Rental,11/13/2015,11/01/2015,12/02/2015,,11/01/2015,10/06/2017,BRIDGE Housing Corporation,Mission Economic Development Agency,"462 Duboce Housing Associates, LP",2015-004290PRJ,http://propertymap.sfplanning.org/?search=2015-004290PRJ,,,,201504012572,42,41,1,98,,34,7,,,,,3,1,1bd,,41,,,,,,,,,41,,,,,,,,,,,,37.76980068,-122.4307967,"(37.76980068, -122.430796668999)"
2015-009,(6) Complete,150 Van Ness,150,Van Ness,Ave,94102,0814A,1,6,Tenderloin,Downtown/Civic Center,MOHCD,Inclusionary Housing Program,,New Construction,Rental,,,05/23/2016,11/15/2016,11/15/2016,09/27/2018,"Van Ness Hayes Associates, LLC",,,2013.0973,http://propertymap.sfplanning.org/?search=2013.0973,"2013.0973C,2013.0973E,2013.0973U,2013.0973V,2013.0973X,2013.0973X_3",04/02/2015,On-site BMR Project,201406138394,420,50,370,12,,3,27,18,2,,,,,,50,,,,,,,,,,,50,,,,,,,,,,,37.77713405,-122.4188229,"(37.777134048, -122.418822909999)"
2012-001a,(6) Complete,Alice Griffith Phase 1 (Block 2),2600,Arelious Walker,Dr,94124,8804,1,10,Bayview Hunters Point,Bayview,OCII,HOPE SF,Candlestick Point,New Construction,Rental,,03/02/2015,10/02/2014,01/22/2015,01/22/2015,10/27/2017,McCormack Baron Salazar,San Francisco Housing Development Corporation,"Alice Griffith Phase 1, LP",Not Applicable,,,,,,93,92,1,99,,,23,50,7,12,,9,1,2bd,92,,,,,,58,,,,92,,,,,,,,,,,,37.71908714,-122.3853168,"(37.719087136, -122.385316764999)"
2018-052e,(2) Predevelopment Feasibility,SFHA Scattered Sites - Eddy,1357-1371,Eddy,St,94115,748,"016B,",5,Western Addition,Western Addition,MOHCD,Bond Financed Multifamily Housing,,Rehabilitation,Rental,,02/14/2022,,,02/14/2022,11/02/2022,Mission Housing Development Corporation,,San Francisco Housing Authority until transfer to MHDC affiliated L.P.,Not Applicable,,,,,,8,8,,100,,,,,8,,,,,,8,,,,,,,,,,8,,,,,,,,,,,,37.78151,-122.42992,"(37.78151, -122.42992)"
